author_id,name,institution_id,institution_name,year_start,year_end,orcid,closest_hospital,hospital_lat,hospital_lon,distance_km,date_of_birth,date_of_death,ORCID,loc_id,affiliation,q_id,total_works,total_citations,inst_type,appoint_len,appt_dropped_by_inst_type,appoint_len_w,winsorized_appointment,perfect_overlap,partial_overlap_kept,partial_overlap_author,perfect_overlap_author,lifespan,earliest_start,latest_end,age_first_pub,latest_end_adj,time_from_last_pub,bad_age_first_pub,bad_lifespan
https://openalex.org/A5059580739,Walter Galenson,https://openalex.org/I95457486,"University of California, Berkeley",1954,1965,,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,37.8644118560001,-122.268577616,0.8781923132251,1914.0,1999.0,,n50015491,Harvard University,Q7964914,206,2101,education,11,0,11,False,0,0,1,0,85.0,1954,2000,40.0,1999.0,0.0,0,0
https://openalex.org/A5059580739,Walter Galenson,https://openalex.org/I205783295,Cornell University,1967,2000,,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,1914.0,1999.0,,n50015491,Harvard University,Q7964914,206,2101,education,33,0,33,False,0,0,1,0,85.0,1954,2000,40.0,1999.0,0.0,0,0
https://openalex.org/A5008757930,Austen Te,https://openalex.org/I205783295,Cornell University,2016,2025,0000-0002-4207-8469,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,,,,,,,5,112,education,9,0,9,False,0,0,0,0,,2016,2025,,2025.0,,0,0
https://openalex.org/A5110033908,Jeffrey A. Hagen,https://openalex.org/I1174212,University of Southern California,1992,2019,,LOS ANGELES AMBULATORY CARE CENTER,34.052015037,-118.238420471,0.4851399769279164,,,,,,,234,12186,education,27,0,27,False,0,0,1,0,,1992,2019,,2019.0,,0,0
https://openalex.org/A5010927128,Speranza Rubattu,https://openalex.org/I3018288129,Istituto Neurologico Mediterraneo,1985,2025,0000-0001-5921-7368,,,,,,,0000-0001-5921-7368,,Sapienza University of Rome,Q42806790,176,4722,healthcare,40,0,40,False,0,0,1,0,,1985,2025,,2025.0,,0,0
https://openalex.org/A5112080210,W. Robeson,https://openalex.org/I2800496781,North Shore University Hospital,1986,2012,,NORTH SHORE UNIVERSITY HOSPITAL,40.7776359200001,-73.701610944,0.0102494352933781,,,,,,,37,1693,healthcare,26,1,26,False,0,0,1,0,,1986,2012,,2012.0,,0,0
https://openalex.org/A5112817943,Jorge H. Capdevila,https://openalex.org/I200719446,Vanderbilt University,1986,2025,,METROPOLITAN NASHVILLE GENERAL HOSPITAL,36.166906969,-86.80656112,1.9889945155026283,,,,,,Q124714558,279,13583,education,39,1,39,False,0,0,1,0,,1986,2025,,2025.0,,0,0
https://openalex.org/A5007198397,Mario Sznol,https://openalex.org/I32971472,Yale University,2005,2025,0000-0002-4359-8749,YALE-NEW HAVEN HOSPITAL,41.30469134,-72.9354136589999,0.7176389367718299,,,0000-0003-4137-9662,,Yale Cancer Center,Q66809426,538,68104,education,20,1,20,False,0,0,1,0,,2005,2025,,2025.0,,0,0
https://openalex.org/A5088452202,Ruth Schwartz,https://openalex.org/I36258959,"University of California, San Diego",2006,2023,0000-0001-8448-8522,NAVAL MEDICAL CENTER SAN DIEGO,32.7275202280001,-117.145937292,2.1936292796024657,,,0000-0001-8448-8522,,,Q95950992,64,1667,education,17,1,17,False,0,0,0,0,,1974,2023,,2023.0,,0,0
https://openalex.org/A5088452202,Ruth Schwartz,https://openalex.org/I205783295,Cornell University,1974,1992,0000-0001-8448-8522,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,,,0000-0001-8448-8522,,,Q95950992,64,1667,education,18,1,18,False,0,0,0,0,,1974,2023,,2023.0,,0,0
