author_id,name,institution_id,institution_name,year_start,year_end,orcid,closest_hospital,hospital_lat,hospital_lon,distance_km,date_of_birth,date_of_death,ORCID,loc_id,affiliation,q_id,total_works,total_citations,inst_type,appoint_len,appt_dropped_by_inst_type,appoint_len_w,winsorized_appointment,perfect_overlap,partial_overlap_kept,partial_overlap_author
https://openalex.org/A5100393999,Sheng Zhang,https://openalex.org/I2799293361,Baoji University of Arts and Sciences,2016,2022,0000-0001-9370-0548,,,,,,,0000-0001-9370-0548,,Hainan University,Q89368370,233,2882,education,6,1,6,False,0,1,1
https://openalex.org/A5051001903,F. Selleri,https://openalex.org/I5561750,University of Bari Aldo Moro,1967,2007,,,,,,,,,,,,190,3493,education,40,1,40,False,0,1,0
https://openalex.org/A5051001903,F. Selleri,https://openalex.org/I9360294,University of Bologna,1960,1968,,,,,,,,,,,,190,3493,education,8,1,8,False,0,1,0
https://openalex.org/A5083043200,Paola Cavaliere,https://openalex.org/I4387153466,Weill Cornell Medicine,2016,2025,,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,40.7105167880001,-74.0052978259999,0.4211660176629024,,,,,University of Salerno,Q111630188,27,971,education,9,0,9,False,1,1,0
https://openalex.org/A5083043200,Paola Cavaliere,https://openalex.org/I205783295,Cornell University,2016,2025,,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,,,,,University of Salerno,Q111630188,27,971,education,9,0,9,False,1,1,0
https://openalex.org/A5010410773,Julius M. Gardin,https://openalex.org/I204250578,"University of California, Irvine",1982,2016,0000-0002-9942-1539,KAISER FND HOSP - IRVINE,33.6582356330001,-117.774927793,4.630539805676765,,,,,,Q114335853,369,45064,education,34,1,34,False,0,1,1
https://openalex.org/A5010410773,Julius M. Gardin,https://openalex.org/I4402554120,Rutgers New Jersey Medical School,2012,2025,0000-0002-9942-1539,MOUNT CARMEL GUILD BEHAVIORAL HEALTHCARE SYSTEM,40.7371696590001,-74.170737958,0.2169961266005687,,,,,,Q114335853,369,45064,education,13,1,13,False,1,1,1
https://openalex.org/A5010410773,Julius M. Gardin,https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",2012,2025,0000-0002-9942-1539,CHILDREN'S SPECIALIZED HOSPITAL,40.494825098,-74.451690392,0.9569060123417374,,,,,,Q114335853,369,45064,education,13,1,13,False,1,1,1
https://openalex.org/A5109252322,N. Amos,https://openalex.org/I66946132,"University of Maryland, College Park",1989,1995,,SAINT LUKE INSTITUTE,39.002567964,-76.980022199,4.45031974460681,,,,,,Q64604480,160,7832,education,6,1,6,False,0,1,1
https://openalex.org/A5109252322,N. Amos,https://openalex.org/I27837315,University of Michigan–Ann Arbor,1994,2019,,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,42.283191747,-83.728707796,1.181076648372232,,,,,,Q64604480,160,7832,education,25,1,25,False,0,1,1
