,author_id,distance_km,date_of_birth,date_of_death,appoint_len,lifespan,earliest_start,latest_end_adj,age_first_pub,time_from_last_pub,n_appointments,total_works,total_citations
145,https://openalex.org/A5007212948,1.7523771395284036,,,2.0,,2011,2025.0,,,5,30,2303
146,https://openalex.org/A5007376623,2.04036963954539,,,3.121212121212121,,1987,2025.0,,,33,203,5220
147,https://openalex.org/A5007404408,4.160249830246951,,,4.25,,1996,2013.0,,,4,46,359
148,https://openalex.org/A5007416721,3.1717052565937944,,,4.2,,1985,2025.0,,,15,115,2146
149,https://openalex.org/A5007422726,0.6780775401730957,1958.0,,6.615384615384615,,1984,2024.0,26.0,,13,153,18547
150,https://openalex.org/A5007459239,0.7463639796080036,,,0.0,,1999,2008.0,,,3,2,39
151,https://openalex.org/A5007494924,2.4543942329455684,,,2.8181818181818183,,1992,2025.0,,,44,350,6456
152,https://openalex.org/A5007588773,1.4129451184700992,,,2.5306122448979593,,1983,2025.0,,,49,516,26795
153,https://openalex.org/A5007608014,4.563387726887004,,,2.6666666666666665,,2017,2025.0,,,6,65,1005
154,https://openalex.org/A5007627428,0.30941163879362715,,,1.4285714285714286,,2015,2024.0,,,7,51,2700
155,https://openalex.org/A5007672237,4.602673515339273,,,0.0,,1988,1988.0,,,2,4,47
156,https://openalex.org/A5007697794,3.2394241547732605,1937.0,2021.0,0.75,84.0,2011,2021.0,74.0,0.0,4,5,334
157,https://openalex.org/A5007699357,4.602820788088144,,,4.833333333333333,,1969,2026.0,,,6,65,874
158,https://openalex.org/A5007707109,1.993300628055786,,,3.125,,1987,2015.0,,,8,47,1346
159,https://openalex.org/A5007710304,1.087920683791703,,,0.0,,1986,1986.0,,,3,1,0
160,https://openalex.org/A5007751931,0.8725353439584254,,,2.8333333333333335,,2002,2023.0,,,6,13,112
161,https://openalex.org/A5007779528,1.5440402437601415,1966.0,,2.8115942028985508,,1994,2025.0,28.0,,69,1533,81346
162,https://openalex.org/A5007837022,2.0943379296272338,,,6.863636363636363,,1980,2025.0,,,22,141,4892
163,https://openalex.org/A5007882846,0.1122862784625716,,,1.0,,2021,2022.0,,,2,2,79
164,https://openalex.org/A5007883302,1.204823538338173,,,3.5714285714285716,,1993,2025.0,,,21,303,8238
165,https://openalex.org/A5007929630,0.3754485062247931,1924.0,2014.0,8.2,90.0,1954,2005.0,30.0,9.0,5,33,275
166,https://openalex.org/A5007947585,0.3236455121777156,,,0.3333333333333333,,2020,2021.0,,,3,5,36
167,https://openalex.org/A5007974773,4.602820788088144,,,0.0,,1994,1994.0,,,1,1,175
168,https://openalex.org/A5007986851,2.42590724288589,,,2.3333333333333335,,1994,1998.0,,,3,10,53
169,https://openalex.org/A5008006437,5.947151447670089,,,0.0,,1991,1991.0,,,2,1,43
170,https://openalex.org/A5008017297,3.3218165437137244,,,2.2,,2004,2023.0,,,5,22,100
