Processing institution: I63966007
[1995-2004] Total so far: 4400, Requests made: 164, avg 0.77 req/sec
[2015-2024] Total so far: 3200, Requests made: 164, avg 0.77 req/sec
[1955-1964] Total so far: 5000, Requests made: 168, avg 0.77 req/sec
[2025-2025] Total so far: 3800, Requests made: 168, avg 0.77 req/sec
[1985-1994] Total so far: 4400, Requests made: 168, avg 0.77 req/sec
[1965-1974] Total so far: 5000, Requests made: 168, avg 0.77 req/sec
[2005-2014] Total so far: 3600, Requests made: 169, avg 0.77 req/sec
[1955-1964] Total so far: 5200, Requests made: 172, avg 0.78 req/sec
[1975-1984] Total so far: 4600, Requests made: 172, avg 0.78 req/sec
[1995-2004] Total so far: 4600, Requests made: 172, avg 0.78 req/sec
[2025-2025] Total so far: 4000, Requests made: 173, avg 0.78 req/sec
[1965-1974] Total so far: 5200, Requests made: 175, avg 0.78 req/sec
[2015-2024] Total so far: 3400, Requests made: 177, avg 0.78 req/sec
[1955-1964] Total so far: 5400, Requests made: 177, avg 0.78 req/sec
[1985-1994] Total so far: 4600, Requests made: 177, avg 0.78 req/sec
[2005-2014] Total so far: 3800, Requests made: 178, avg 0.78 req/sec
[1975-1984] Total so far: 4800, Requests made: 180, avg 0.78 req/sec
[1995-2004] Total so far: 4800, Requests made: 180, avg 0.78 req/sec
[2025-2025] Total so far: 4200, Requests made: 182, avg 0.78 req/sec
[1965-1974] Total so far: 5400, Requests made: 182, avg 0.78 req/sec
[1955-1964] Total so far: 5600, Requests made: 184, avg 0.78 req/sec
[2015-2024] Total so far: 3600, Requests made: 185, avg 0.78 req/sec
[1985-1994] Total so far: 4800, Requests made: 185, avg 0.78 req/sec
[1975-1984] Total so far: 5000, Requests made: 187, avg 0.78 req/sec
[2005-2014] Total so far: 4000, Requests made: 188, avg 0.78 req/sec
[1995-2004] Total so far: 5000, Requests made: 188, avg 0.78 req/sec
[2025-2025] Total so far: 4400, Requests made: 191, avg 0.79 req/sec
[1965-1974] Total so far: 5600, Requests made: 191, avg 0.79 req/sec
[1955-1964] Total so far: 5800, Requests made: 191, avg 0.79 req/sec
[1975-1984] Total so far: 5200, Requests made: 195, avg 0.79 req/sec
[1985-1994] Total so far: 5000, Requests made: 195, avg 0.79 req/sec
[1995-2004] Total so far: 5200, Requests made: 195, avg 0.79 req/sec
[2015-2024] Total so far: 3800, Requests made: 195, avg 0.79 req/sec
[2005-2014] Total so far: 4200, Requests made: 196, avg 0.79 req/sec
[1965-1974] Total so far: 5800, Requests made: 198, avg 0.79 req/sec
[1955-1964] Total so far: 6000, Requests made: 198, avg 0.79 req/sec
[1975-1984] Total so far: 5400, Requests made: 200, avg 0.79 req/sec
[2025-2025] Total so far: 4600, Requests made: 200, avg 0.79 req/sec
[1985-1994] Total so far: 5200, Requests made: 202, avg 0.79 req/sec
[1995-2004] Total so far: 5400, Requests made: 203, avg 0.79 req/sec
[1965-1974] Total so far: 6000, Requests made: 203, avg 0.79 req/sec
[2015-2024] Total so far: 4000, Requests made: 206, avg 0.79 req/sec
[1955-1964] Total so far: 6071, Requests made: 206, avg 0.79 req/sec
[2005-2014] Total so far: 4400, Requests made: 208, avg 0.78 req/sec
[1975-1984] Total so far: 5600, Requests made: 208, avg 0.78 req/sec
[2025-2025] Total so far: 4800, Requests made: 208, avg 0.78 req/sec
[1955-1964] Total so far: 6071, Requests made: 209, avg 0.79 req/sec
[1965-1974] Total so far: 6200, Requests made: 212, avg 0.79 req/sec
[1995-2004] Total so far: 5600, Requests made: 212, avg 0.79 req/sec
[1985-1994] Total so far: 5400, Requests made: 212, avg 0.79 req/sec
[2005-2014] Total so far: 4600, Requests made: 214, avg 0.79 req/sec
[2015-2024] Total so far: 4200, Requests made: 216, avg 0.79 req/sec
[1965-1974] Total so far: 6400, Requests made: 217, avg 0.79 req/sec
[1975-1984] Total so far: 5800, Requests made: 217, avg 0.79 req/sec
[2025-2025] Total so far: 5000, Requests made: 217, avg 0.79 req/sec
[1985-1994] Total so far: 5600, Requests made: 220, avg 0.79 req/sec
[1995-2004] Total so far: 5800, Requests made: 220, avg 0.79 req/sec
[1965-1974] Total so far: 6600, Requests made: 221, avg 0.79 req/sec
[2005-2014] Total so far: 4800, Requests made: 221, avg 0.79 req/sec
[2015-2024] Total so far: 4400, Requests made: 224, avg 0.79 req/sec
[1975-1984] Total so far: 6000, Requests made: 225, avg 0.79 req/sec
[2025-2025] Total so far: 5200, Requests made: 225, avg 0.79 req/sec
[1985-1994] Total so far: 5800, Requests made: 225, avg 0.79 req/sec
[1995-2004] Total so far: 6000, Requests made: 227, avg 0.80 req/sec
[1965-1974] Total so far: 6800, Requests made: 227, avg 0.80 req/sec
[1975-1984] Total so far: 6200, Requests made: 228, avg 0.80 req/sec
[2005-2014] Total so far: 5000, Requests made: 229, avg 0.80 req/sec
[1965-1974] Total so far: 7000, Requests made: 233, avg 0.79 req/sec
[1995-2004] Total so far: 6200, Requests made: 233, avg 0.79 req/sec
[1985-1994] Total so far: 6000, Requests made: 233, avg 0.79 req/sec
[2015-2024] Total so far: 4600, Requests made: 233, avg 0.79 req/sec
[1975-1984] Total so far: 6400, Requests made: 235, avg 0.80 req/sec
[1965-1974] Total so far: 7200, Requests made: 235, avg 0.80 req/sec
[1995-2004] Total so far: 6400, Requests made: 237, avg 0.80 req/sec
[2005-2014] Total so far: 5200, Requests made: 237, avg 0.80 req/sec
[1985-1994] Total so far: 6200, Requests made: 238, avg 0.80 req/sec
[1975-1984] Total so far: 6600, Requests made: 239, avg 0.80 req/sec
[1965-1974] Total so far: 7400, Requests made: 241, avg 0.80 req/sec
[2015-2024] Total so far: 4800, Requests made: 241, avg 0.80 req/sec
[1995-2004] Total so far: 6600, Requests made: 243, avg 0.79 req/sec
[2025-2025] Total so far: 5400, Requests made: 243, avg 0.79 req/sec
[2005-2014] Total so far: 5400, Requests made: 244, avg 0.79 req/sec
[1975-1984] Total so far: 6800, Requests made: 245, avg 0.79 req/sec
[1965-1974] Total so far: 7600, Requests made: 246, avg 0.79 req/sec
[2015-2024] Total so far: 5000, Requests made: 250, avg 0.79 req/sec
[1995-2004] Total so far: 6800, Requests made: 250, avg 0.79 req/sec
[1985-1994] Total so far: 6400, Requests made: 250, avg 0.79 req/sec
[2025-2025] Total so far: 5600, Requests made: 250, avg 0.79 req/sec
[2005-2014] Total so far: 5600, Requests made: 252, avg 0.79 req/sec
[1965-1974] Total so far: 7800, Requests made: 252, avg 0.79 req/sec
[1995-2004] Total so far: 7000, Requests made: 254, avg 0.79 req/sec
[1975-1984] Total so far: 7000, Requests made: 254, avg 0.79 req/sec
[2015-2024] Total so far: 5200, Requests made: 256, avg 0.79 req/sec
[2025-2025] Total so far: 5800, Requests made: 256, avg 0.79 req/sec
[1985-1994] Total so far: 6600, Requests made: 257, avg 0.79 req/sec
[2005-2014] Total so far: 5800, Requests made: 259, avg 0.78 req/sec
[1975-1984] Total so far: 7200, Requests made: 262, avg 0.77 req/sec
[1965-1974] Total so far: 8000, Requests made: 262, avg 0.77 req/sec
[1995-2004] Total so far: 7200, Requests made: 262, avg 0.77 req/sec
[2015-2024] Total so far: 5400, Requests made: 262, avg 0.77 req/sec
[1975-1984] Total so far: 7400, Requests made: 265, avg 0.77 req/sec
[2025-2025] Total so far: 6000, Requests made: 266, avg 0.77 req/sec
[1965-1974] Total so far: 8200, Requests made: 266, avg 0.77 req/sec
[1985-1994] Total so far: 6800, Requests made: 267, avg 0.77 req/sec
[2005-2014] Total so far: 6000, Requests made: 267, avg 0.77 req/sec
[1995-2004] Total so far: 7400, Requests made: 270, avg 0.78 req/sec
[1975-1984] Total so far: 7600, Requests made: 271, avg 0.78 req/sec
[1965-1974] Total so far: 8400, Requests made: 271, avg 0.78 req/sec
[2025-2025] Total so far: 6200, Requests made: 271, avg 0.78 req/sec
[2015-2024] Total so far: 5600, Requests made: 272, avg 0.78 req/sec
[1985-1994] Total so far: 7000, Requests made: 275, avg 0.78 req/sec
[1975-1984] Total so far: 7800, Requests made: 276, avg 0.78 req/sec
[1995-2004] Total so far: 7600, Requests made: 277, avg 0.78 req/sec
[1965-1974] Total so far: 8600, Requests made: 277, avg 0.78 req/sec
[2005-2014] Total so far: 6200, Requests made: 277, avg 0.78 req/sec
[2025-2025] Total so far: 6400, Requests made: 278, avg 0.78 req/sec
[1985-1994] Total so far: 7200, Requests made: 281, avg 0.78 req/sec
[1975-1984] Total so far: 8000, Requests made: 281, avg 0.78 req/sec
[2015-2024] Total so far: 5800, Requests made: 282, avg 0.78 req/sec
[1995-2004] Total so far: 7800, Requests made: 282, avg 0.78 req/sec
[1965-1974] Total so far: 8800, Requests made: 283, avg 0.78 req/sec
[2025-2025] Total so far: 6600, Requests made: 286, avg 0.78 req/sec
[1985-1994] Total so far: 7400, Requests made: 287, avg 0.78 req/sec
[2005-2014] Total so far: 6400, Requests made: 287, avg 0.78 req/sec
[1975-1984] Total so far: 8200, Requests made: 287, avg 0.78 req/sec
[2015-2024] Total so far: 6000, Requests made: 291, avg 0.79 req/sec
[1965-1974] Total so far: 9000, Requests made: 292, avg 0.79 req/sec
[2025-2025] Total so far: 6800, Requests made: 292, avg 0.79 req/sec
[1995-2004] Total so far: 8000, Requests made: 292, avg 0.79 req/sec
[1985-1994] Total so far: 7600, Requests made: 292, avg 0.79 req/sec
[1975-1984] Total so far: 8400, Requests made: 295, avg 0.79 req/sec
[1965-1974] Total so far: 9200, Requests made: 295, avg 0.79 req/sec
[2025-2025] Total so far: 7000, Requests made: 295, avg 0.79 req/sec
[2005-2014] Total so far: 6600, Requests made: 296, avg 0.79 req/sec
[2015-2024] Total so far: 6200, Requests made: 299, avg 0.79 req/sec
[1995-2004] Total so far: 8200, Requests made: 299, avg 0.79 req/sec
[1975-1984] Total so far: 8600, Requests made: 299, avg 0.79 req/sec
[1965-1974] Total so far: 9400, Requests made: 300, avg 0.79 req/sec
[2025-2025] Total so far: 7200, Requests made: 302, avg 0.79 req/sec
[1985-1994] Total so far: 7800, Requests made: 302, avg 0.79 req/sec
[1995-2004] Total so far: 8400, Requests made: 305, avg 0.79 req/sec
[2005-2014] Total so far: 6800, Requests made: 305, avg 0.79 req/sec
[2015-2024] Total so far: 6400, Requests made: 306, avg 0.79 req/sec
[1965-1974] Total so far: 9600, Requests made: 307, avg 0.79 req/sec
[1975-1984] Total so far: 8800, Requests made: 307, avg 0.79 req/sec
[1985-1994] Total so far: 8000, Requests made: 308, avg 0.79 req/sec
[2025-2025] Total so far: 7400, Requests made: 310, avg 0.79 req/sec
[1995-2004] Total so far: 8600, Requests made: 312, avg 0.79 req/sec
[2005-2014] Total so far: 7000, Requests made: 312, avg 0.79 req/sec
[1965-1974] Total so far: 9800, Requests made: 312, avg 0.79 req/sec
[2015-2024] Total so far: 6600, Requests made: 315, avg 0.79 req/sec
[1975-1984] Total so far: 9000, Requests made: 316, avg 0.79 req/sec
[2025-2025] Total so far: 7600, Requests made: 317, avg 0.79 req/sec
[1985-1994] Total so far: 8200, Requests made: 317, avg 0.79 req/sec
[1995-2004] Total so far: 8800, Requests made: 317, avg 0.79 req/sec
[1965-1974] Total so far: 10000, Requests made: 318, avg 0.79 req/sec
[2025-2025] Total so far: 7800, Requests made: 321, avg 0.79 req/sec
[1975-1984] Total so far: 9200, Requests made: 322, avg 0.79 req/sec
[2005-2014] Total so far: 7200, Requests made: 322, avg 0.79 req/sec
[2015-2024] Total so far: 6800, Requests made: 324, avg 0.78 req/sec
[1985-1994] Total so far: 8400, Requests made: 324, avg 0.78 req/sec
[1995-2004] Total so far: 9000, Requests made: 324, avg 0.78 req/sec
[1965-1974] Total so far: 10200, Requests made: 327, avg 0.78 req/sec
[1975-1984] Total so far: 9400, Requests made: 327, avg 0.78 req/sec
[2025-2025] Total so far: 8000, Requests made: 327, avg 0.78 req/sec
[2005-2014] Total so far: 7400, Requests made: 328, avg 0.78 req/sec
[2015-2024] Total so far: 7000, Requests made: 330, avg 0.79 req/sec
[1965-1974] Total so far: 10400, Requests made: 330, avg 0.79 req/sec
[1995-2004] Total so far: 9200, Requests made: 332, avg 0.79 req/sec
[1985-1994] Total so far: 8600, Requests made: 332, avg 0.79 req/sec
[1975-1984] Total so far: 9600, Requests made: 333, avg 0.79 req/sec
[2025-2025] Total so far: 8200, Requests made: 334, avg 0.79 req/sec
[1965-1974] Total so far: 10600, Requests made: 336, avg 0.79 req/sec
[2005-2014] Total so far: 7600, Requests made: 336, avg 0.79 req/sec
[1995-2004] Total so far: 9400, Requests made: 338, avg 0.79 req/sec
[2015-2024] Total so far: 7200, Requests made: 339, avg 0.79 req/sec
[1975-1984] Total so far: 9800, Requests made: 340, avg 0.79 req/sec
[1985-1994] Total so far: 8800, Requests made: 340, avg 0.79 req/sec
[2025-2025] Total so far: 8400, Requests made: 342, avg 0.79 req/sec
[1965-1974] Total so far: 10800, Requests made: 342, avg 0.79 req/sec
[1995-2004] Total so far: 9600, Requests made: 344, avg 0.79 req/sec
[2005-2014] Total so far: 7800, Requests made: 344, avg 0.79 req/sec
[1975-1984] Total so far: 10000, Requests made: 346, avg 0.79 req/sec
[2015-2024] Total so far: 7400, Requests made: 346, avg 0.79 req/sec
[1965-1974] Total so far: 11000, Requests made: 348, avg 0.79 req/sec
[1985-1994] Total so far: 9000, Requests made: 348, avg 0.79 req/sec
[2025-2025] Total so far: 8600, Requests made: 350, avg 0.79 req/sec
[1995-2004] Total so far: 9800, Requests made: 350, avg 0.79 req/sec
[2005-2014] Total so far: 8000, Requests made: 352, avg 0.79 req/sec
[1975-1984] Total so far: 10200, Requests made: 352, avg 0.79 req/sec
[1965-1974] Total so far: 11200, Requests made: 354, avg 0.79 req/sec
[2015-2024] Total so far: 7600, Requests made: 355, avg 0.79 req/sec
[1985-1994] Total so far: 9200, Requests made: 355, avg 0.79 req/sec
[1995-2004] Total so far: 10000, Requests made: 357, avg 0.79 req/sec
[2025-2025] Total so far: 8774, Requests made: 358, avg 0.79 req/sec
[1975-1984] Total so far: 10400, Requests made: 358, avg 0.79 req/sec
[1965-1974] Total so far: 11400, Requests made: 359, avg 0.80 req/sec
[2025-2025] Total so far: 8774, Requests made: 360, avg 0.80 req/sec
[1985-1994] Total so far: 9400, Requests made: 362, avg 0.80 req/sec
[2005-2014] Total so far: 8200, Requests made: 362, avg 0.80 req/sec
[1975-1984] Total so far: 10600, Requests made: 365, avg 0.80 req/sec
[1995-2004] Total so far: 10200, Requests made: 365, avg 0.80 req/sec
[2015-2024] Total so far: 7800, Requests made: 365, avg 0.80 req/sec
[1965-1974] Total so far: 11600, Requests made: 366, avg 0.80 req/sec
[1985-1994] Total so far: 9600, Requests made: 367, avg 0.80 req/sec
[1975-1984] Total so far: 10800, Requests made: 368, avg 0.80 req/sec
